age,gender,place_type,hobby,climate,health_issues,selected_place
62,female,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
33,male,['Beach'],['Relaxation'],Tropical,[],Mirissa Beach
60,female,['Historical'],['Photography'],Tropical,[],Royal Botanical Gardens
37,female,"['Religious', 'Historical']",['Sightseeing'],Tropical,['Back Pain'],Temple of the Tooth
30,other,['Nature'],['Hiking'],Tropical,[],Hanthana Mountain Range
37,female,['Nature'],['Hiking'],Tropical,"['Back Pain', 'Asthma']",Hanthana Mountain Range
59,female,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Temple of the Tooth
57,other,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
21,male,['Nature'],['Hiking'],Tropical,"['Back Pain', 'Asthma']",Hanthana Mountain Range
36,female,['Nature'],['Photography'],Tropical,[],Kandy Lake
7,other,['Historical'],['Relaxation'],Tropical,[],Royal Botanical Gardens
61,male,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
70,other,['Beach'],['Relaxation'],Tropical,['Asthma'],Mirissa Beach
42,female,['Historical'],['Photography'],Tropical,[],Royal Botanical Gardens
67,female,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
34,other,"['Religious', 'Historical']",['Photography'],Tropical,[],Gadaladeniya Temple
14,male,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Gadaladeniya Temple
38,female,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
47,other,['Beach'],['Surfing'],Tropical,['Asthma'],Mirissa Beach
79,female,['Nature'],['Photography'],Tropical,[],Kandy Lake
71,other,['Religious'],['Sightseeing'],Tropical,[],Bahirawakanda Vihara Buddha Statue
55,other,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
65,female,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
16,female,['Historical'],['Relaxation'],Tropical,[],Royal Botanical Gardens
60,female,['Religious'],['Photography'],Tropical,['Back Pain'],Bahirawakanda Vihara Buddha Statue
40,male,['Nature'],['Relaxation'],Tropical,[],Kandy Lake
51,other,['Nature'],['Photography'],Tropical,[],Kandy Lake
6,male,"['Religious', 'Historical']",['Sightseeing'],Tropical,['Back Pain'],Gadaladeniya Temple
22,female,['Nature'],['Hiking'],Tropical,['Asthma'],Udawattakele Forest Reserve
32,female,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
48,male,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Temple of the Tooth
71,male,['Historical'],['Photography'],Tropical,[],Royal Botanical Gardens
12,male,['Beach'],['Surfing'],Tropical,[],Mirissa Beach
30,female,['Religious'],['Photography'],Tropical,[],Bahirawakanda Vihara Buddha Statue
37,male,['Nature'],['Photography'],Tropical,['Asthma'],Udawattakele Forest Reserve
8,female,['Religious'],['Sightseeing'],Tropical,['Back Pain'],Bahirawakanda Vihara Buddha Statue
59,male,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
40,other,['Nature'],['Photography'],Tropical,[],Udawattakele Forest Reserve
10,female,"['Religious', 'Historical']",['Photography'],Tropical,[],Temple of the Tooth
61,female,['Religious'],['Photography'],Tropical,[],Bahirawakanda Vihara Buddha Statue
23,male,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
18,female,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
14,male,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
44,female,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
21,male,['Religious'],['Sightseeing'],Tropical,[],Bahirawakanda Vihara Buddha Statue
53,male,['Historical'],['Relaxation'],Tropical,[],Royal Botanical Gardens
38,other,['Beach'],['Relaxation'],Tropical,[],Mirissa Beach
68,male,['Nature'],['Relaxation'],Tropical,[],Kandy Lake
34,other,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
30,female,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
22,other,['Nature'],['Relaxation'],Tropical,[],Kandy Lake
27,other,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Temple of the Tooth
70,female,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
55,female,['Nature'],['Hiking'],Tropical,[],Udawattakele Forest Reserve
68,other,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Temple of the Tooth
33,female,['Nature'],['Hiking'],Tropical,[],Hanthana Mountain Range
37,female,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
35,other,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
19,male,['Nature'],['Relaxation'],Tropical,[],Kandy Lake
49,female,['Religious'],['Photography'],Tropical,[],Bahirawakanda Vihara Buddha Statue
30,other,['Religious'],['Photography'],Tropical,[],Bahirawakanda Vihara Buddha Statue
42,female,['Nature'],['Photography'],Tropical,[],Kandy Lake
16,female,['Nature'],['Relaxation'],Tropical,[],Kandy Lake
64,other,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
41,other,"['Religious', 'Historical']",['Photography'],Tropical,[],Gadaladeniya Temple
55,male,['Nature'],['Relaxation'],Tropical,[],Kandy Lake
50,male,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
61,male,['Nature'],['Photography'],Tropical,[],Udawattakele Forest Reserve
51,male,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
30,male,['Beach'],['Surfing'],Tropical,[],Mirissa Beach
42,female,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
21,other,['Religious'],['Photography'],Tropical,['Back Pain'],Bahirawakanda Vihara Buddha Statue
29,other,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
53,male,['Religious'],['Sightseeing'],Tropical,['Back Pain'],Bahirawakanda Vihara Buddha Statue
53,other,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Temple of the Tooth
67,male,['Nature'],['Relaxation'],Tropical,[],Kandy Lake
55,other,['Nature'],['Photography'],Tropical,[],Kandy Lake
53,male,['Nature'],['Relaxation'],Tropical,[],Kandy Lake
51,female,['Historical'],['Photography'],Tropical,[],Royal Botanical Gardens
42,other,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
38,male,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
11,male,['Nature'],['Relaxation'],Tropical,[],Kandy Lake
63,other,['Nature'],['Relaxation'],Tropical,[],Kandy Lake
55,male,['Nature'],['Photography'],Tropical,[],Kandy Lake
36,female,['Religious'],['Sightseeing'],Tropical,[],Bahirawakanda Vihara Buddha Statue
18,other,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
11,male,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
23,male,['Historical'],['Photography'],Tropical,[],Royal Botanical Gardens
15,female,['Historical'],['Photography'],Tropical,[],Royal Botanical Gardens
13,female,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
28,male,"['Religious', 'Historical']",['Photography'],Tropical,[],Gadaladeniya Temple
18,male,['Nature'],['Relaxation'],Tropical,[],Kandy Lake
26,other,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
41,other,['Nature'],['Hiking'],Tropical,[],Udawattakele Forest Reserve
45,female,['Historical'],['Photography'],Tropical,[],Royal Botanical Gardens
31,male,['Nature'],['Photography'],Tropical,[],Udawattakele Forest Reserve
57,other,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Gadaladeniya Temple
66,female,['Historical'],['Photography'],Tropical,[],Royal Botanical Gardens
57,other,"['Religious', 'Historical']",['Photography'],Tropical,['Back Pain'],Gadaladeniya Temple
40,male,['Religious'],['Photography'],Tropical,[],Bahirawakanda Vihara Buddha Statue
59,other,['Nature'],['Relaxation'],Tropical,[],Kandy Lake
40,other,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
66,other,['Religious'],['Sightseeing'],Tropical,[],Bahirawakanda Vihara Buddha Statue
77,male,['Nature'],['Relaxation'],Tropical,[],Kandy Lake
46,male,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
48,other,['Nature'],['Hiking'],Tropical,[],Udawattakele Forest Reserve
63,other,"['Religious', 'Historical']",['Photography'],Tropical,[],Temple of the Tooth
51,female,['Nature'],['Relaxation'],Tropical,[],Kandy Lake
74,male,['Historical'],['Photography'],Tropical,[],Royal Botanical Gardens
30,other,"['Religious', 'Historical']",['Photography'],Tropical,['Back Pain'],Gadaladeniya Temple
52,female,['Religious'],['Sightseeing'],Tropical,[],Bahirawakanda Vihara Buddha Statue
43,other,['Historical'],['Photography'],Tropical,[],Royal Botanical Gardens
35,other,['Historical'],['Photography'],Tropical,[],Royal Botanical Gardens
59,other,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
29,male,['Historical'],['Photography'],Tropical,[],Royal Botanical Gardens
70,other,['Beach'],['Relaxation'],Tropical,['Asthma'],Mirissa Beach
17,male,['Historical'],['Photography'],Tropical,[],Royal Botanical Gardens
50,male,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Temple of the Tooth
20,other,['Nature'],['Hiking'],Tropical,[],Hanthana Mountain Range
9,male,"['Religious', 'Historical']",['Photography'],Tropical,['Back Pain'],Temple of the Tooth
72,female,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
77,other,"['Religious', 'Historical']",['Photography'],Tropical,['Back Pain'],Temple of the Tooth
41,male,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
60,other,['Nature'],['Relaxation'],Tropical,[],Kandy Lake
75,other,['Nature'],['Relaxation'],Tropical,[],Kandy Lake
78,other,['Historical'],['Photography'],Tropical,[],Royal Botanical Gardens
7,female,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
53,male,['Beach'],['Surfing'],Tropical,['Asthma'],Mirissa Beach
39,female,['Historical'],['Relaxation'],Tropical,[],Royal Botanical Gardens
17,male,['Nature'],['Photography'],Tropical,[],Hanthana Mountain Range
15,male,['Nature'],['Photography'],Tropical,[],Kandy Lake
71,male,['Historical'],['Photography'],Tropical,[],Royal Botanical Gardens
29,male,['Religious'],['Sightseeing'],Tropical,['Back Pain'],Bahirawakanda Vihara Buddha Statue
42,other,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
41,male,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
49,female,['Beach'],['Relaxation'],Tropical,[],Mirissa Beach
44,other,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Temple of the Tooth
63,other,['Nature'],['Hiking'],Tropical,[],Hanthana Mountain Range
46,other,['Religious'],['Photography'],Tropical,[],Bahirawakanda Vihara Buddha Statue
49,female,['Nature'],['Hiking'],Tropical,"['Back Pain', 'Asthma']",Hanthana Mountain Range
36,other,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
6,female,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
31,male,['Nature'],['Hiking'],Tropical,[],Hanthana Mountain Range
68,male,['Beach'],['Surfing'],Tropical,[],Mirissa Beach
78,male,['Historical'],['Relaxation'],Tropical,[],Royal Botanical Gardens
41,male,['Nature'],['Photography'],Tropical,[],Udawattakele Forest Reserve
72,other,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Temple of the Tooth
69,female,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Gadaladeniya Temple
68,other,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
11,male,['Religious'],['Photography'],Tropical,[],Bahirawakanda Vihara Buddha Statue
55,other,"['Religious', 'Historical']",['Sightseeing'],Tropical,['Back Pain'],Gadaladeniya Temple
33,male,['Beach'],['Surfing'],Tropical,[],Mirissa Beach
33,male,['Religious'],['Sightseeing'],Tropical,[],Bahirawakanda Vihara Buddha Statue
26,other,['Religious'],['Sightseeing'],Tropical,['Back Pain'],Bahirawakanda Vihara Buddha Statue
25,other,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
61,male,['Beach'],['Relaxation'],Tropical,[],Mirissa Beach
19,female,['Beach'],['Surfing'],Tropical,[],Mirissa Beach
22,other,['Religious'],['Sightseeing'],Tropical,['Back Pain'],Bahirawakanda Vihara Buddha Statue
57,other,['Religious'],['Sightseeing'],Tropical,['Back Pain'],Bahirawakanda Vihara Buddha Statue
68,male,['Nature'],['Relaxation'],Tropical,[],Kandy Lake
19,male,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
13,female,['Nature'],['Photography'],Tropical,[],Hanthana Mountain Range
6,other,"['Religious', 'Historical']",['Photography'],Tropical,[],Temple of the Tooth
42,other,['Nature'],['Photography'],Tropical,[],Hanthana Mountain Range
15,female,['Beach'],['Surfing'],Tropical,['Asthma'],Mirissa Beach
50,other,['Nature'],['Photography'],Tropical,[],Udawattakele Forest Reserve
44,female,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Temple of the Tooth
34,male,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
42,other,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Gadaladeniya Temple
48,male,['Nature'],['Relaxation'],Tropical,[],Kandy Lake
13,female,['Nature'],['Photography'],Tropical,"['Back Pain', 'Asthma']",Hanthana Mountain Range
12,female,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
11,other,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
26,female,['Beach'],['Relaxation'],Tropical,[],Mirissa Beach
16,male,['Nature'],['Photography'],Tropical,[],Hanthana Mountain Range
49,male,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
48,female,['Nature'],['Photography'],Tropical,[],Udawattakele Forest Reserve
60,male,['Religious'],['Sightseeing'],Tropical,[],Bahirawakanda Vihara Buddha Statue
65,male,['Nature'],['Hiking'],Tropical,[],Udawattakele Forest Reserve
53,female,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
24,male,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
64,female,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Temple of the Tooth
70,other,['Historical'],['Photography'],Tropical,[],Royal Botanical Gardens
62,female,['Beach'],['Relaxation'],Tropical,[],Mirissa Beach
30,female,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
45,female,['Nature'],['Hiking'],Tropical,[],Udawattakele Forest Reserve
32,female,['Beach'],['Surfing'],Tropical,[],Mirissa Beach
60,male,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
71,female,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Gadaladeniya Temple
5,male,['Nature'],['Hiking'],Tropical,[],Udawattakele Forest Reserve
51,male,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
60,other,['Nature'],['Hiking'],Tropical,['Asthma'],Udawattakele Forest Reserve
33,male,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
63,male,"['Religious', 'Historical']",['Photography'],Tropical,[],Temple of the Tooth
24,male,['Historical'],['Photography'],Tropical,[],Royal Botanical Gardens
54,male,['Nature'],['Photography'],Tropical,[],Hanthana Mountain Range
54,other,['Nature'],['Photography'],Tropical,['Asthma'],Udawattakele Forest Reserve
56,female,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Gadaladeniya Temple
5,other,['Nature'],['Photography'],Tropical,[],Kandy Lake
51,female,"['Religious', 'Historical']",['Photography'],Tropical,[],Temple of the Tooth
34,female,['Historical'],['Relaxation'],Tropical,[],Royal Botanical Gardens
76,male,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
18,male,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
70,female,['Nature'],['Hiking'],Tropical,[],Udawattakele Forest Reserve
52,male,['Nature'],['Hiking'],Tropical,[],Hanthana Mountain Range
23,female,['Historical'],['Photography'],Tropical,[],Royal Botanical Gardens
79,male,['Nature'],['Relaxation'],Tropical,[],Kandy Lake
19,male,"['Religious', 'Historical']",['Photography'],Tropical,[],Gadaladeniya Temple
37,male,"['Religious', 'Historical']",['Photography'],Tropical,['Back Pain'],Temple of the Tooth
76,female,"['Religious', 'Historical']",['Photography'],Tropical,[],Gadaladeniya Temple
30,female,['Nature'],['Hiking'],Tropical,[],Udawattakele Forest Reserve
16,male,['Historical'],['Photography'],Tropical,[],Royal Botanical Gardens
19,other,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
47,male,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
51,male,['Nature'],['Hiking'],Tropical,"['Back Pain', 'Asthma']",Hanthana Mountain Range
25,male,['Nature'],['Photography'],Tropical,[],Udawattakele Forest Reserve
56,female,['Religious'],['Sightseeing'],Tropical,[],Bahirawakanda Vihara Buddha Statue
20,female,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
11,other,"['Religious', 'Historical']",['Photography'],Tropical,[],Gadaladeniya Temple
60,male,"['Religious', 'Historical']",['Sightseeing'],Tropical,[],Gadaladeniya Temple
72,female,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
49,female,['Religious'],['Sightseeing'],Tropical,[],Bahirawakanda Vihara Buddha Statue
46,male,"['Religious', 'Historical']",['Sightseeing'],Tropical,['Back Pain'],Gadaladeniya Temple
23,other,"['Religious', 'Historical']",['Photography'],Tropical,[],Gadaladeniya Temple
59,female,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
37,other,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
19,other,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
61,female,['Nature'],['Hiking'],Tropical,[],Hanthana Mountain Range
22,other,"['Religious', 'Historical']",['Photography'],Tropical,[],Gadaladeniya Temple
79,other,['Nature'],['Relaxation'],Tropical,[],Kandy Lake
46,other,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
7,male,['Nature'],['Photography'],Tropical,[],Kandy Lake
72,male,"['Religious', 'Historical']",['Photography'],Tropical,[],Temple of the Tooth
31,male,['Nature'],['Photography'],Tropical,[],Kandy Lake
48,male,"['Religious', 'Historical']",['Sightseeing'],Tropical,['Back Pain'],Gadaladeniya Temple
48,female,['Nature'],['Photography'],Tropical,[],Udawattakele Forest Reserve
12,female,"['Religious', 'Historical']",['Photography'],Tropical,[],Gadaladeniya Temple
51,male,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
59,male,['Nature'],['Photography'],Tropical,[],Kandy Lake
27,other,['Nature'],['Photography'],Tropical,[],Kandy Lake
69,male,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
76,other,"['Religious', 'Historical']",['Photography'],Tropical,[],Temple of the Tooth
18,male,"['Historical', 'Educational']",['Sightseeing'],Tropical,[],Ceylon Tea Museum
79,other,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
59,female,['Beach'],['Surfing'],Tropical,[],Mirissa Beach
16,other,"['Religious', 'Historical']",['Photography'],Tropical,[],Temple of the Tooth
34,female,['Nature'],['Hiking'],Tropical,[],Udawattakele Forest Reserve
77,other,"['Educational', 'Historical']",['Sightseeing'],Tropical,[],Peradeniya University
39,female,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
70,male,['Nature'],['Hiking'],Tropical,[],Udawattakele Forest Reserve
58,female,['Historical'],['Photography'],Tropical,[],Commonwealth War Cemetery
